Year,Week,Date,Day,Home,Opp,Score Rslt,Team Pts,OT,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Total Offense Ply,Total Offense Tot,Total Offense Y/P,Kicking FGA,Kicking FGM,Kicking XPA,Kicking XPM,Punting Pnt,Punting Yds,First Downs Pass,First Downs Rsh,First Downs Pen,First Downs 1stD,Downs 3DConv,Downs 3DAtt,Downs 4DConv,Downs 4DAtt,Penalties Pen,Penalties Yds,Turnovers FL,Turnovers Int,Turnovers TO,Unnamed: 47_level_0 ToP,Opp Pts,Team
2006,1,2006-09-10,6,1,IND,L,21,0,20,34,58.8,247.0,2,7.3,7.12,88.7,0,28,186.0,1,6.6,62,433.0,6.98,1,0,3,3,1,49.0,14,9,0,23,4,8,0,1,10,64.0,1,1,2,30:03,26,nyg
2006,2,2006-09-17,6,0,PHI,W,30,1,31,43,72.1,318.0,3,7.4,7.74,106.5,8,26,86.0,0,3.3,77,404.0,5.25,1,1,3,3,8,348.0,18,5,1,24,6,15,0,1,9,75.0,0,1,1,38:47,24,nyg
2006,3,2006-09-24,6,0,SEA,L,30,0,24,36,66.7,264.0,3,7.3,5.25,81.2,1,15,73.0,0,4.9,52,337.0,6.48,1,1,3,3,4,192.0,15,3,0,18,2,9,1,1,8,63.0,1,3,4,22:00,42,nyg
2006,5,2006-10-08,6,1,WAS,W,19,0,23,33,69.7,256.0,1,7.8,8.36,102.6,0,36,155.0,0,4.3,69,411.0,5.96,5,4,1,1,2,72.0,9,11,0,20,9,16,0,0,8,76.0,0,0,0,34:47,3,nyg
2006,6,2006-10-15,6,0,ATL,W,27,0,17,30,56.7,165.0,2,5.5,3.83,66.7,2,38,259.0,1,6.8,70,424.0,6.06,2,2,3,3,4,142.0,12,15,1,28,4,11,0,0,5,45.0,0,2,2,34:18,14,nyg
2006,7,2006-10-23,0,0,DAL,W,36,0,12,26,46.2,173.0,2,6.7,6.46,77.9,2,39,155.0,1,4.0,67,328.0,4.9,2,2,4,4,3,146.0,10,8,0,18,9,16,1,1,3,24.0,1,1,2,32:29,22,nyg
2006,8,2006-10-29,6,1,TAM,W,17,0,16,31,51.6,143.0,1,4.6,5.26,75.1,2,35,108.0,1,3.1,68,251.0,3.69,1,1,2,2,9,336.0,9,7,0,16,3,14,0,1,4,40.0,0,0,0,35:38,3,nyg
2006,9,2006-11-05,6,1,HOU,W,14,0,17,29,58.6,163.0,1,5.6,4.76,71.5,2,28,122.0,1,4.4,59,285.0,4.83,0,0,2,2,3,110.0,11,10,2,23,6,11,0,1,6,53.0,0,1,1,31:05,10,nyg
2006,10,2006-11-12,6,1,CHI,L,20,0,14,32,43.8,99.0,0,3.1,0.28,25.4,2,22,150.0,2,6.8,56,249.0,4.45,4,2,2,2,5,202.0,8,6,1,15,2,12,0,0,10,96.0,1,2,3,27:14,38,nyg
2006,11,2006-11-20,0,0,JAX,L,10,0,19,41,46.3,222.0,1,5.4,3.71,51.1,1,14,25.0,0,1.8,56,247.0,4.41,1,1,1,1,6,241.0,8,3,2,13,4,13,0,1,5,35.0,1,2,3,19:41,26,nyg
2006,12,2006-11-26,6,0,TEN,L,21,0,18,28,64.3,143.0,1,5.1,2.61,59.1,0,36,144.0,2,4.0,64,287.0,4.48,0,0,3,3,5,213.0,8,9,1,18,8,15,1,2,5,43.0,0,2,2,33:37,24,nyg
